,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity
0,0.373,0.56,9,-7.615,0,0.0448,0.132,0,0.381,0.187,98.858,328907,2016,1
1,0.703,0.699,2,-7.322,1,0.044,0.00113,0.000779,0.246,0.0393,99.991,255787,2016,1
2,0.442,0.421,2,-11.455,1,0.137,0.376,7.23E-06,0.139,0.111,87.694,297373,2016,1
3,0.581,0.673,7,-7.111,1,0.162,0.032,6.38E-06,0.116,0.209,193.668,240653,2016,3
4,0.785,0.633,7,-8.223,1,0.169,0.0259,0,0.368,0.244,129.97,209413,2016,1
5,0.62,0.722,1,-7.022,1,0.322,0.0733,0,0.273,0.365,82.918,253533,2016,1
6,0.66,0.311,0,-8.681,1,0.113,0.625,1.29E-06,0.116,0.357,119.237,333947,2016,1
7,0.872,0.407,1,-10.036,1,0.256,0.152,0.000188,0.112,0.802,127.97,195053,2016,3
8,0.536,0.446,1,-10.489,1,0.162,0.104,1.01E-05,0.323,0.157,99.979,290133,2016,1
9,0.834,0.438,0,-9.577,1,0.152,0.0212,0,0.649,0.207,133.958,189853,2016,3
10,0.607,0.476,10,-11.076,0,0.249,0.0773,0,0.113,0.347,122.976,245227,2016,11
11,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,2016,21
12,0.711,0.44,1,-9.509,1,0.471,0.00175,2.73E-06,0.0798,0.121,145.116,220427,2016,2
13,0.691,0.482,1,-11.14,1,0.231,0.0173,7.10E-06,0.197,0.305,160.027,241400,2016,3
14,0.724,0.456,7,-10.009,1,0.127,0.215,2.41E-06,0.105,0.0481,133.051,212947,2016,2
15,0.804,0.648,7,-7.805,1,0.117,0.0573,3.49E-05,0.102,0.392,117.983,263373,2016,14
16,0.687,0.267,4,-8.818,0,0.0297,0.372,0.00411,0.0992,0.307,131.962,106333,2016,0
17,0.709,0.259,1,-14.341,0,0.0892,0.0803,0,0.0855,0.265,79.839,238120,2016,3
18,0.446,0.871,5,-5.837,1,0.367,0.07,0,0.243,0.0795,78.119,311960,2016,1
19,0.903,0.62,2,-8.094,1,0.0587,0.00347,0.000119,0.0504,0.539,134.96,267067,2016,11
20,0.889,0.543,2,-7.666,1,0.128,0.00311,6.85E-06,0.234,0.314,140.029,231231,2015,1
21,0.769,0.676,8,-6.48,0,0.277,0.00179,0,0.251,0.304,131.938,217707,2015,2
22,0.885,0.485,4,-8.491,0,0.24,0.0335,0,0.0805,0.293,82.992,211643,2015,0
23,0.522,0.362,1,-10.827,1,0.048,0.139,2.83E-05,0.111,0.17,135.797,314632,2015,1
24,0.511,0.416,0,-9.203,0,0.384,0.0931,1.12E-05,0.0974,0.289,86.678,209288,2015,0
25,0.84,0.477,1,-6.599,1,0.325,0.0106,0,0.157,0.36,170.99,202085,2015,1
26,0.842,0.519,0,-9.255,1,0.223,0.000394,0.00069,0.131,0.249,160.003,180000,2015,0
27,0.804,0.334,0,-10.135,1,0.385,0.0204,0,0.118,0.202,137.855,220862,2015,0
28,0.853,0.558,1,-7.448,1,0.202,0.0462,0,0.341,0.654,142.079,205879,2015,8
29,0.757,0.528,0,-10.799,0,0.274,0.511,0.000334,0.0936,0.302,146.056,188703,2015,1
30,0.747,0.621,4,-9.115,0,0.394,0.653,0,0.124,0.306,89.282,253935,2015,0
31,0.712,0.563,1,-7.573,1,0.071,0.0269,0,0.0776,0.299,100.093,241853,2015,4
32,0.748,0.571,11,-7.916,1,0.478,0.38,0,0.534,0.553,172.105,181933,2015,5
33,0.825,0.757,11,-3.687,0,0.384,0.262,1.72E-06,0.0762,0.89,172.938,177733,2015,2
34,0.733,0.412,11,-8.687,0,0.225,0.196,0,0.342,0.179,114.413,275840,2015,4
35,0.823,0.467,0,-10.394,0,0.301,0.543,0,0.135,0.618,95.024,310933,2015,1
36,0.905,0.506,2,-8.598,1,0.0588,0.0149,3.56E-05,0.371,0.122,110.017,177840,2015,1
37,0.859,0.623,2,-8.596,1,0.106,0.0248,0,0.125,0.482,105.45,180667,2015,2
38,0.521,0.392,3,-7.88,1,0.17,0.747,8.81E-06,0.198,0.166,91.938,294973,2015,1
39,0.605,0.511,11,-8.094,0,0.475,0.165,8.95E-05,0.104,0.379,65.256,236973,2015,1
40,0.321,0.466,9,-8.163,0,0.0512,0.729,7.63E-06,0.215,0.194,135.089,212280,2015,1
41,0.926,0.427,10,-7.584,0,0.107,0.0703,0.00033,0.0818,0.305,96.023,268480,2015,1
42,0.812,0.535,4,-9.306,1,0.449,0.217,0,0.114,0.321,78.974,167653,2015,1
43,0.555,0.481,10,-7.419,0,0.0322,0.124,0,0.101,0.0981,107.806,281320,2015,1
44,0.651,0.55,7,-8.216,1,0.0496,0.0403,0,0.165,0.119,107.571,252640,2015,0
45,0.574,0.476,3,-7.444,1,0.282,0.166,0,0.129,0.223,154.531,264907,2015,0
46,0.69,0.235,7,-8.651,1,0.0541,0.618,0.000144,0.107,0.378,99.906,320400,2015,3
47,0.554,0.849,5,-4.154,1,0.25,0.107,0,0.155,0.386,128.428,283307,2015,0
48,0.472,0.468,3,-5.815,1,0.184,0.163,0,0.586,0.404,81.94,236360,2013,57
49,0.668,0.515,1,-6.977,1,0.402,0.0703,0,0.223,0.425,122.014,271573,2013,63
50,0.676,0.717,11,-8.219,0,0.0869,0.29,0.000368,0.0974,0.558,157.628,241000,2013,54
51,0.489,0.57,1,-10.291,1,0.306,0.759,2.10E-06,0.179,0.584,185.516,272573,2011,63
52,0.566,0.465,2,-11.714,1,0.235,0.0555,0,0.567,0.177,143.015,224720,2011,67
53,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,235987,2011,73
54,0.418,0.546,0,-9.057,0,0.238,0.227,0,0.229,0.294,160.152,208813,2011,70
55,0.629,0.515,0,-10.358,0,0.265,0.0267,1.22E-05,0.0888,0.299,121.845,277387,2011,72
56,0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,347227,2011,75
57,0.711,0.543,0,-12.692,1,0.112,0.412,0,0.505,0.801,102.01,150960,2011,58
58,0.487,0.712,8,-7.323,1,0.27,5.20E-05,0,0.198,0.397,156.209,212613,2011,62
59,0.386,0.488,1,-7.303,0,0.422,0.00171,0,0.64,0.217,193.397,247947,2011,60
60,0.684,0.486,1,-10.155,1,0.132,0.00268,0.000148,0.157,0.355,131.913,219893,2011,68
61,0.417,0.887,5,-5.551,0,0.367,0.0786,0,0.834,0.303,167.579,307640,2011,60
62,0.441,0.403,2,-11.18,0,0.147,0.255,1.27E-05,0.13,0.158,139.92,434960,2011,61
63,0.397,0.172,6,-15.698,0,0.0445,0.841,6.78E-05,0.108,0.123,101.275,265120,2011,70
64,0.567,0.309,8,-14.254,1,0.385,0.166,0,0.12,0.509,65.041,321080,2011,60
65,0.495,0.351,3,-14.669,0,0.34,0.485,0,0.0967,0.271,134.369,301960,2011,61
66,0.444,0.627,7,-8.744,0,0.252,0.123,0,0.0795,0.359,98.21,206627,2011,69
67,0.446,0.239,1,-15.327,1,0.0876,0.574,7.76E-05,0.12,0.31,104.675,237733,2011,63
68,0.556,0.702,0,-10.079,0,0.205,0.517,0,0.343,0.793,155.948,351000,2011,57
69,0.766,0.442,1,-8.558,1,0.356,0.000107,6.12E-05,0.111,0.39,201.8,181573,2011,74
70,0.52,0.756,0,-6.472,1,0.356,0.434,0,0.162,0.533,89.453,313267,2010,50
71,0.756,0.658,0,-7.124,1,0.11,0.00901,0.0189,0.0805,0.954,151.026,227973,2010,46
72,0.439,0.737,0,-8.123,1,0.188,0.83,0,0.116,0.631,81.475,225360,2010,47
73,0.39,0.847,4,-5.611,0,0.202,0.0107,0,0.124,0.448,99.768,233560,2010,59
74,0.665,0.734,6,-6.066,0,0.117,0.0385,0,0.116,0.706,128.31,210360,2010,48
75,0.592,0.809,7,-4.667,1,0.282,0.00778,1.62E-05,0.336,0.272,156.344,234333,2010,58
76,0.517,0.884,2,-5.581,0,0.458,0.331,2.00E-06,0.356,0.282,87.275,319387,2010,51
77,0.541,0.435,9,-9.302,0,0.0844,0.412,0,0.0978,0.393,119.819,419307,2010,49
78,0.562,0.872,4,-5.108,0,0.119,0.0951,0,0.107,0.072,156.109,213813,2010,47
79,0.484,0.907,8,-5.996,1,0.415,0.0946,0,0.151,0.206,86.152,274147,2010,46
80,0.429,0.864,2,-5.975,1,0.603,0.081,0,0.331,0.333,100.814,305520,2010,52
81,0.436,0.603,9,-6.882,0,0.0331,0.0538,5.83E-06,0.115,0.227,94.992,154120,2010,42
82,0.625,0.613,6,-6.005,0,0.173,0.0209,0,0.0286,0.737,96.034,208947,2010,58
83,0.499,0.771,8,-4.851,1,0.42,0.279,0,0.119,0.748,76.222,328573,2010,46
84,0.662,0.763,1,-8.455,1,0.377,0.0389,0,0.103,0.566,170.031,223701,2008,0
85,0.334,0.783,9,-6.144,0,0.181,0.0615,0,0.11,0.308,83.944,280404,2008,0
86,0.529,0.838,8,-2.619,1,0.212,0.337,0,0.127,0.355,88.052,238960,2016,0
87,0.923,0.535,9,-7.353,0,0.301,0.161,0,0.103,0.74,133.942,207813,2016,6
88,0.806,0.558,8,-6.538,1,0.172,0.00496,1.45E-06,0.16,0.26,85.011,251333,2016,3
89,0.594,0.46,1,-7.607,1,0.382,0.00354,2.71E-05,0.147,0.0541,146.274,202451,2016,54
90,0.893,0.48,1,-3.728,0,0.356,0.00854,0,0.116,0.382,86.976,170638,2015,4
91,0.457,0.694,6,-7.018,0,0.608,0.91,0,0.121,0.383,177.777,189769,2015,0
92,0.915,0.301,2,-7.657,1,0.237,0.117,0,0.089,0.351,100.519,190595,2015,2
93,0.559,0.716,11,-3.964,0,0.39,0.737,0,0.252,0.504,176.618,275227,2013,6
94,0.506,0.837,5,-5.692,1,0.3,0.336,0,0.281,0.408,117.68,219440,2010,28
95,0.528,0.815,3,-4.878,0,0.297,0.0251,0,0.107,0.0937,133.914,191493,2016,0
96,0.467,0.674,6,-5.919,0,0.225,0.0176,0,0.415,0.581,130.585,239187,2012,0
97,0.47,0.495,8,-8.34,1,0.0889,0.572,0,0.079,0.443,128.227,236880,2013,0
98,0.79,0.621,1,-7.634,1,0.275,0.33,0,0.122,0.15,118.896,252040,2015,68
99,0.717,0.507,4,-8.595,0,0.0445,0.0741,3.21E-05,0.241,0.198,100.017,199020,2016,64
100,0.916,0.571,10,-8.241,0,0.2,0.0173,1.11E-06,0.153,0.498,103.521,183695,2016,3
101,0.519,0.802,11,-3.449,0,0.296,0.0606,0,0.606,0.414,150.013,296147,2011,1
102,0.57,0.623,1,-7.852,1,0.365,0.281,0,0.462,0.28,98.918,231210,2011,3
103,0.895,0.49,10,-10.31,0,0.251,0.0125,0.00101,0.142,0.257,83.508,227727,2016,1
104,0.813,0.453,1,-6.941,1,0.338,0.0933,0,0.14,0.191,161.997,208027,2015,67
105,0.616,0.623,9,-7.233,1,0.308,0.501,7.50E-06,0.243,0.458,143.888,115640,2014,43
106,0.82,0.599,10,-9.796,0,0.141,0.226,0.0489,0.105,0.356,137.022,265038,2016,56
107,0.801,0.521,4,-9.871,0,0.28,0.0136,0,0.179,0.412,108.025,334360,2015,62
108,0.833,0.673,1,-6.981,0,0.315,0.329,0,0.136,0.753,148.019,149080,2016,56
109,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140.163,321987,2014,57
110,0.779,0.572,6,-9.985,0,0.378,0.157,0,0.246,0.647,135.956,300160,2012,61
111,0.842,0.482,10,-8.846,0,0.181,0.281,0,0.111,0.205,92.023,337640,2014,1
112,0.797,0.521,1,-8.21,1,0.204,0.0118,0,0.564,0.391,103.985,306173,2014,0
113,0.546,0.841,3,-4.303,0,0.307,0.0441,0,0.538,0.506,75.975,271947,2010,1
114,0.672,0.632,8,-6.426,0,0.033,0.0133,0,0.108,0.501,124.931,255280,2013,1
115,0.727,0.599,1,-6.941,1,0.327,0.317,0,0.219,0.386,167.909,197133,2015,72
116,0.845,0.705,6,-4.271,0,0.243,0.0218,0,0.339,0.334,132.05,246047,2015,62
117,0.896,0.674,10,-6.89,0,0.0499,0.0644,1.83E-05,0.12,0.516,105.096,219227,2015,3
118,0.752,0.766,1,-5.11,1,0.251,0.338,0,0.0861,0.501,141.82,330770,2014,54
119,0.794,0.592,8,-6.973,1,0.129,0.0384,1.86E-05,0.111,0.177,97.201,177827,2013,56
120,0.717,0.347,11,-10.265,0,0.0636,0.0511,2.43E-06,0.087,0.0589,84.987,235477,2016,76
121,0.725,0.534,11,-6.238,1,0.0946,0.0752,0,0.0919,0.558,91.974,219320,2016,3
122,0.69,0.786,2,-2.959,1,0.0692,0.229,0,0.0797,0.583,100.049,263173,2010,69
123,0.681,0.406,4,-9.83,1,0.437,0.0304,0,0.0892,0.172,193.068,233507,2014,0
124,0.927,0.362,0,-9.329,0,0.591,0.0442,0,0.139,0.389,93.008,196587,2016,2
125,0.74,0.694,1,-7.488,1,0.505,0.153,0,0.137,0.249,143.894,188320,2014,4
126,0.615,0.619,1,-6.567,1,0.231,0.0546,0,0.31,0.521,152.105,261267,2009,27
127,0.677,0.95,1,-3.807,1,0.213,0.0114,0,0.163,0.801,151.955,251760,2009,13
128,0.427,0.682,8,-2.268,0,0.037,0.0288,0,0.175,0.455,189.948,244920,2010,25
129,0.739,0.912,2,-1.253,1,0.113,0.0596,0,0.65,0.582,137.998,304880,2012,0
130,0.38,0.84,1,-4.528,0,0.311,0.0291,0,0.87,0.387,159.939,278067,2011,0
131,0.44,0.671,3,-10.598,0,0.477,0.764,0,0.212,0.479,83.078,234387,2011,3
132,0.593,0.393,1,-11.736,1,0.0827,0.394,3.24E-06,0.11,0.193,136.866,269533,2010,56
133,0.639,0.57,1,-4.966,1,0.042,0.0233,0,0.329,0.728,92.073,204187,2012,40
134,0.715,0.745,9,-5.71,1,0.25,0.0311,0,0.0823,0.687,148.042,262440,2010,24
135,0.391,0.467,8,-7.451,1,0.0622,0.762,0,0.242,0.468,150.783,229373,2010,6
136,0.364,0.841,8,-4.831,1,0.119,0.000402,0,0.242,0.0837,100.14,305840,2011,57
137,0.666,0.715,8,-7.292,1,0.156,0.0244,0,0.119,0.1,85.356,241467,2011,40
138,0.624,0.536,2,-9.575,0,0.0799,0.109,0.000428,0.102,0.131,119.088,248432,2016,57
139,0.694,0.674,0,-4.991,0,0.164,0.202,1.22E-05,0.138,0.46,143.067,241867,2011,31
140,0.866,0.506,8,-6.913,0,0.469,0.359,0,0.0922,0.272,119.954,312187,2014,0
141,0.453,0.697,1,-4.759,1,0.039,0.00653,0,0.469,0.0486,164.126,296040,2011,0
142,0.721,0.607,0,-7.078,0,0.277,0.0958,0,0.29,0.59,76.987,206267,2014,46
143,0.511,0.734,6,-6.025,0,0.239,0.352,0,0.196,0.377,110.771,276160,2012,37
144,0.448,0.719,7,-4.179,0,0.291,0.0833,0,0.162,0.301,162.09,267720,2012,1
145,0.57,0.58,10,-5.547,0,0.209,0.0125,0,0.0497,0.405,171.917,270627,2010,2
146,0.709,0.362,11,-9.814,1,0.055,0.157,0,0.109,0.113,122.043,251860,2015,73
147,0.574,0.797,0,-8.617,0,0.0677,0.000744,0,0.331,0.319,157.954,257693,2011,0
148,0.788,0.714,2,-6.757,1,0.0538,0.0437,0.0041,0.338,0.181,107.004,263347,2013,0
149,0.555,0.713,11,-4.549,1,0.0911,0.0845,0,0.712,0.725,79.934,240920,2009,0
150,0.51,0.864,8,-4.795,0,0.372,0.375,1.15E-06,0.434,0.239,119.198,223480,2011,0
151,0.616,0.523,3,-8.105,0,0.0839,0.305,0.000411,0.1,0.258,139.951,418507,2012,1
152,0.797,0.569,9,-8.554,1,0.112,0.153,0,0.296,0.51,101.02,249839,2015,32
153,0.692,0.735,8,-5.132,1,0.0881,0.106,4.59E-06,0.239,0.333,120.154,272747,2013,48
154,0.618,0.757,11,-7.079,1,0.0907,0.015,0,0.262,0.525,140.068,236643,2016,0
155,0.643,0.541,2,-5.801,1,0.0426,0.0102,0,0.102,0.165,119.501,311197,2014,69
156,0.802,0.725,0,-5.965,0,0.0676,0.574,0,0.0821,0.598,128.04,225000,2014,73
157,0.573,0.704,8,-7.45,0,0.297,0.0499,0,0.0821,0.371,76.409,199173,2013,0
158,0.496,0.645,7,-6.369,1,0.196,0.282,0,0.135,0.764,144.707,245773,2013,18
159,0.683,0.606,1,-7.057,1,0.0476,0.158,0,0.11,0.369,131.926,211827,2013,54
160,0.869,0.687,1,-6.816,1,0.263,0.0208,1.00E-06,0.114,0.668,96.006,233787,2013,16
161,0.603,0.701,11,-4.495,0,0.188,0.183,0,0.193,0.603,145.346,373693,2013,0
162,0.503,0.795,10,-4.505,1,0.335,0.178,0,0.042,0.265,149.981,289707,2012,37
163,0.462,0.843,4,-4.903,0,0.135,0.201,0,0.434,0.494,153.877,202173,2012,30
164,0.671,0.738,10,-5.328,0,0.072,0.0112,0,0.286,0.212,143.161,248227,2012,29
165,0.712,0.758,9,-4.835,1,0.26,0.343,0,0.141,0.903,140.02,266000,2011,48
166,0.629,0.853,0,-4.36,1,0.104,0.00189,0,0.34,0.373,78.033,320160,2010,0
167,0.767,0.83,5,-5.188,0,0.211,0.188,0,0.0755,0.884,150.049,272438,2010,14
168,0.577,0.523,9,-11.275,1,0.25,0.000757,0,0.332,0.246,106.231,200013,2010,0
169,0.651,0.888,11,-3.821,1,0.295,0.375,0,0.299,0.371,97.946,279307,2010,3
170,0.854,0.671,11,-6.303,1,0.254,0.176,0,0.261,0.366,104.038,193893,2009,0
171,0.569,0.759,6,-6.412,0,0.173,0.0687,0,0.356,0.154,153.923,345987,2010,11
172,0.417,0.764,1,-5.364,1,0.458,0.0494,0,0.156,0.525,159.952,264120,2010,31
173,0.69,0.76,0,-4.778,1,0.0587,0.0678,0,0.184,0.468,89.958,247933,2009,48
174,0.708,0.578,6,-8.686,1,0.0631,0.0095,0,0.353,0.696,133.03,258587,2009,35
175,0.618,0.727,3,-7.224,0,0.208,0.0312,0,0.196,0.401,164.992,180520,2016,61
