,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Drake,Maroon 5,Taylor Swift,popularity
0,1,0.467,0.674,6,-5.919,0,0.225,0.0176,0,0.415,0.581,130.585,2012,0.218089,0.314758,2.802,-2.764173,0,0.105075,0.0082192,0,0.193805,0.271327,60.983195,939.604,0.454276,4.044,-3.989406,0,0.15165,0.0118624,0,0.27971,0.391594,88.01429,1356.088,36,-35.514,0,1.35,0.1056,0,2.49,3.486,783.51,12072,35.034561,0,-1.331775,-0.1041744,0,-2.456385,-3.438939,-772.932615,-11909.028,0,0,0,0,0,0,0,0,0.050625,0.00396,0,0.093375,0.130725,29.381625,452.7,0.00030976,0,0.007304,0.0102256,2.298296,35.4112,0,0,0,0,0,0.172225,0.241115,54.192775,834.98,0.337561,75.869885,1168.972,17052.44223,262737.02,4048144,-20983.96409,1723.522273,1,0,0,0
1,1,0.779,0.572,6,-9.985,0,0.378,0.157,0,0.246,0.647,135.956,2012,0.606841,0.445588,4.674,-7.778315,0,0.294462,0.122303,0,0.191634,0.504013,105.909724,1567.348,0.327184,3.432,-5.71142,0,0.216216,0.089804,0,0.140712,0.370084,77.766832,1150.864,36,-59.91,0,2.268,0.942,0,1.476,3.882,815.736,12072,99.700225,0,-3.77433,-1.567645,0,-2.45631,-6.460295,-1357.52066,-20089.82,0,0,0,0,0,0,0,0,0.142884,0.059346,0,0.092988,0.244566,51.391368,760.536,0.024649,0,0.038622,0.101579,21.345092,315.884,0,0,0,0,0,0.060516,0.159162,33.445176,494.952,0.418609,87.963532,1301.764,18484.03394,273543.472,4048144,-31625.35483,5549.079111,1,0,0,61
2,1,0.739,0.912,2,-1.253,1,0.113,0.0596,0,0.65,0.582,137.998,2012,0.546121,0.673968,1.478,-0.925967,0.739,0.083507,0.0440444,0,0.48035,0.430098,101.980522,1486.868,0.831744,1.824,-1.142736,0.912,0.103056,0.0543552,0,0.5928,0.530784,125.854176,1834.944,4,-2.506,2,0.226,0.1192,0,1.3,1.164,275.996,4024,1.570009,-1.253,-0.141589,-0.0746788,0,-0.81445,-0.729246,-172.911494,-2521.036,1,0.113,0.0596,0,0.65,0.582,137.998,2012,0.012769,0.0067348,0,0.07345,0.065766,15.593774,227.356,0.00355216,0,0.03874,0.0346872,8.2246808,119.9152,0,0,0,0,0,0.4225,0.3783,89.6987,1307.8,0.338724,80.314836,1170.984,19043.448,277651.976,4048144,-36085.32924,-9980.165061,1,0,0,0
3,1,0.639,0.57,1,-4.966,1,0.042,0.0233,0,0.329,0.728,92.073,2012,0.408321,0.36423,0.639,-3.173274,0.639,0.026838,0.0148887,0,0.210231,0.465192,58.834647,1285.668,0.3249,0.57,-2.83062,0.57,0.02394,0.013281,0,0.18753,0.41496,52.48161,1146.84,1,-4.966,1,0.042,0.0233,0,0.329,0.728,92.073,2012,24.661156,-4.966,-0.208572,-0.1157078,0,-1.633814,-3.615248,-457.234518,-9991.592,1,0.042,0.0233,0,0.329,0.728,92.073,2012,0.001764,0.0009786,0,0.013818,0.030576,3.867066,84.504,0.00054289,0,0.0076657,0.0169624,2.1453009,46.8796,0,0,0,0,0,0.108241,0.239512,30.292017,661.948,0.529984,67.029144,1464.736,8477.437329,185250.876,4048144,57123.80101,-7413.479153,1,0,0,40
4,1,0.511,0.734,6,-6.025,0,0.239,0.352,0,0.196,0.377,110.771,2012,0.261121,0.375074,3.066,-3.078775,0,0.122129,0.179872,0,0.100156,0.192647,56.603981,1028.132,0.538756,4.404,-4.42235,0,0.175426,0.258368,0,0.143864,0.276718,81.305914,1476.808,36,-36.15,0,1.434,2.112,0,1.176,2.262,664.626,12072,36.300625,0,-1.439975,-2.1208,0,-1.1809,-2.271425,-667.395275,-12122.3,0,0,0,0,0,0,0,0,0.057121,0.084128,0,0.046844,0.090103,26.474269,480.868,0.123904,0,0.068992,0.132704,38.991392,708.224,0,0,0,0,0,0.038416,0.073892,21.711116,394.352,0.142129,41.760667,758.524,12270.21444,222871.252,4048144,19142.45161,2185.770799,1,0,0,37
5,1,0.448,0.719,7,-4.179,0,0.291,0.0833,0,0.162,0.301,162.09,2012,0.200704,0.322112,3.136,-1.872192,0,0.130368,0.0373184,0,0.072576,0.134848,72.61632,901.376,0.516961,5.033,-3.004701,0,0.209229,0.0598927,0,0.116478,0.216419,116.54271,1446.628,49,-29.253,0,2.037,0.5831,0,1.134,2.107,1134.63,14084,17.464041,0,-1.216089,-0.3481107,0,-0.676998,-1.257879,-677.37411,-8408.148,0,0,0,0,0,0,0,0,0.084681,0.0242403,0,0.047142,0.087591,47.16819,585.492,0.00693889,0,0.0134946,0.0250733,13.502097,167.5996,0,0,0,0,0,0.026244,0.048762,26.25858,325.944,0.090601,48.78909,605.612,26273.1681,326125.08,4048144,-85119.33242,1306.617009,1,0,0,1
6,1,0.616,0.523,3,-8.105,0,0.0839,0.305,0.000411,0.1,0.258,139.951,2012,0.379456,0.322168,1.848,-4.99268,0,0.0516824,0.18788,0.000253176,0.0616,0.158928,86.209816,1239.392,0.273529,1.569,-4.238915,0,0.0438797,0.159515,0.000214953,0.0523,0.134934,73.194373,1052.276,9,-24.315,0,0.2517,0.915,0.001233,0.3,0.774,419.853,6036,65.691025,0,-0.6800095,-2.472025,-0.003331155,-0.8105,-2.09109,-1134.302855,-16307.26,0,0,0,0,0,0,0,0,0.00703921,0.0255895,3.45E-05,0.00839,0.0216462,11.7418889,168.8068,0.093025,0.000125355,0.0305,0.07869,42.685055,613.66,1.69E-07,4.11E-05,0.000106038,0.057519861,0.826932,0.01,0.0258,13.9951,201.2,0.066564,36.107358,519.096,19586.2824,281581.412,4048144,-39685.52651,-1591.242092,1,0,0,1
7,1,0.503,0.795,10,-4.505,1,0.335,0.178,0,0.042,0.265,149.981,2012,0.253009,0.399885,5.03,-2.266015,0.503,0.168505,0.089534,0,0.021126,0.133295,75.440443,1012.036,0.632025,7.95,-3.581475,0.795,0.266325,0.14151,0,0.03339,0.210675,119.234895,1599.54,100,-45.05,10,3.35,1.78,0,0.42,2.65,1499.81,20120,20.295025,-4.505,-1.509175,-0.80189,0,-0.18921,-1.193825,-675.664405,-9064.06,1,0.335,0.178,0,0.042,0.265,149.981,2012,0.112225,0.05963,0,0.01407,0.088775,50.243635,674.02,0.031684,0,0.007476,0.04717,26.696618,358.136,0,0,0,0,0,0.001764,0.01113,6.299202,84.504,0.070225,39.744965,533.18,22494.30036,301761.772,4048144,-60633.3813,7140.469576,1,0,0,37
8,1,0.462,0.843,4,-4.903,0,0.135,0.201,0,0.434,0.494,153.877,2012,0.213444,0.389466,1.848,-2.265186,0,0.06237,0.092862,0,0.200508,0.228228,71.091174,929.544,0.710649,3.372,-4.133229,0,0.113805,0.169443,0,0.365862,0.416442,129.718311,1696.116,16,-19.612,0,0.54,0.804,0,1.736,1.976,615.508,8048,24.039409,0,-0.661905,-0.985503,0,-2.127902,-2.422082,-754.458931,-9864.836,0,0,0,0,0,0,0,0,0.018225,0.027135,0,0.05859,0.06669,20.773395,271.62,0.040401,0,0.087234,0.099294,30.929277,404.412,0,0,0,0,0,0.188356,0.214396,66.782618,873.208,0.244036,76.015238,993.928,23678.13113,309600.524,4048144,-68217.6131,-3181.4071,1,0,0,30
9,1,0.671,0.738,10,-5.328,0,0.072,0.0112,0,0.286,0.212,143.161,2012,0.450241,0.495198,6.71,-3.575088,0,0.048312,0.0075152,0,0.191906,0.142252,96.061031,1350.052,0.544644,7.38,-3.932064,0,0.053136,0.0082656,0,0.211068,0.156456,105.652818,1484.856,100,-53.28,0,0.72,0.112,0,2.86,2.12,1431.61,20120,28.387584,0,-0.383616,-0.0596736,0,-1.523808,-1.129536,-762.761808,-10719.936,0,0,0,0,0,0,0,0,0.005184,0.0008064,0,0.020592,0.015264,10.307592,144.864,0.00012544,0,0.0032032,0.0023744,1.6034032,22.5344,0,0,0,0,0,0.081796,0.060632,40.944046,575.432,0.044944,30.350132,426.544,20495.07192,288039.932,4048144,-46740.46073,8042.044286,1,0,0,29
10,1,0.805,0.54,11,-9.299,0,0.103,0.336,0,0.206,0.412,112.754,2012,0.648025,0.4347,8.855,-7.485695,0,0.082915,0.27048,0,0.16583,0.33166,90.76697,1619.66,0.2916,5.94,-5.02146,0,0.05562,0.18144,0,0.11124,0.22248,60.88716,1086.48,121,-102.289,0,1.133,3.696,0,2.266,4.532,1240.294,22132,86.471401,0,-0.957797,-3.124464,0,-1.915594,-3.831188,-1048.499446,-18709.588,0,0,0,0,0,0,0,0,0.010609,0.034608,0,0.021218,0.042436,11.613662,207.236,0.112896,0,0.069216,0.138432,37.885344,676.032,0,0,0,0,0,0.042436,0.084872,23.227324,414.472,0.169744,46.454648,828.944,12713.46452,226861.048,4048144,15070.70099,14140.10307,1,0,0,0
11,1,0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,2012,0.345744,0.4851,2.352,-3.458616,0.588,0.0192864,0.000115836,0.00081144,0.052038,0.233436,76.421184,1183.056,0.680625,3.3,-4.85265,0.825,0.02706,0.000162525,0.0011385,0.0730125,0.327525,107.2236,1659.9,16,-23.528,4,0.1312,0.000788,0.00552,0.354,1.588,519.872,8048,34.597924,-5.882,-0.1929296,-0.001158754,-0.00811716,-0.520557,-2.335154,-764.471776,-11834.584,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,2012,0.00107584,6.46E-06,4.53E-05,0.0029028,0.0130216,4.2629504,65.9936,3.88E-08,2.72E-07,1.74E-05,7.82E-05,0.025603696,0.396364,1.90E-06,0.00012213,0.00054786,0.17935584,2.77656,0.00783225,0.0351345,11.502168,178.062,0.157609,51.597296,798.764,16891.68102,261495.616,4048144,-19623.10836,-1842.147823,0,0,1,42
12,1,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87E-05,0.091,0.641,124.978,2012,0.362404,0.539392,0.602,-2.568734,0,0.0263074,0.0465346,5.34E-05,0.054782,0.385882,75.236756,1211.224,0.802816,0.896,-3.823232,0,0.0391552,0.0692608,7.95E-05,0.081536,0.574336,111.980288,1802.752,1,-4.267,0,0.0437,0.0773,8.87E-05,0.091,0.641,124.978,2012,18.207289,0,-0.1864679,-0.3298391,-0.000378483,-0.388297,-2.735147,-533.281126,-8585.204,0,0,0,0,0,0,0,0,0.00190969,0.00337801,3.88E-06,0.0039767,0.0280117,5.4615386,87.9244,0.00597529,6.86E-06,0.0070343,0.0495493,9.6607994,155.5276,7.87E-09,8.07E-06,5.69E-05,0.011085549,0.1784644,0.008281,0.058331,11.372998,183.092,0.410881,80.110898,1289.692,15619.50048,251455.736,4048144,-9460.542898,-8625.507682,0,0,1,59
13,1,0.705,0.621,2,-8.086,1,0.0334,0.101,4.30E-06,0.147,0.395,109.993,2012,0.497025,0.437805,1.41,-5.70063,0.705,0.023547,0.071205,3.03E-06,0.103635,0.278475,77.545065,1418.46,0.385641,1.242,-5.021406,0.621,0.0207414,0.062721,2.67E-06,0.091287,0.245295,68.305653,1249.452,4,-16.172,2,0.0668,0.202,8.60E-06,0.294,0.79,219.986,4024,65.383396,-8.086,-0.2700724,-0.816686,-3.48E-05,-1.188642,-3.19397,-889.403398,-16269.032,1,0.0334,0.101,4.30E-06,0.147,0.395,109.993,2012,0.00111556,0.0033734,1.44E-07,0.0049098,0.013193,3.6737662,67.2008,0.010201,4.34E-07,0.014847,0.039895,11.109293,203.212,1.85E-11,6.32E-07,1.70E-06,0.00047297,0.0086516,0.021609,0.058065,16.168971,295.764,0.156025,43.447235,794.74,12098.46005,221305.916,4048144,21059.64356,-2915.542941,0,0,1,41
14,1,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25E-06,0.0398,0.679,77.019,2012,0.386884,0.291718,1.866,-4.228356,0,0.0225786,0.00282388,1.40E-06,0.0247556,0.422338,47.905818,1251.464,0.219961,1.407,-3.188262,0,0.0170247,0.00212926,1.06E-06,0.0186662,0.318451,36.121911,943.628,9,-20.394,0,0.1089,0.01362,6.75E-06,0.1194,2.037,231.057,6036,46.212804,0,-0.2467674,-0.03086292,-1.53E-05,-0.2705604,-4.615842,-523.575162,-13677.576,0,0,0,0,0,0,0,0,0.00131769,0.000164802,8.17E-08,0.00144474,0.0246477,2.7957897,73.0356,2.06E-05,1.02E-08,0.000180692,0.00308266,0.34966626,9.13448,5.06E-12,8.96E-08,1.53E-06,0.000173293,0.004527,0.00158404,0.0270242,3.0653562,80.0776,0.461041,52.295901,1366.148,5931.926361,154962.228,4048144,87480.16741,-1873.250457,0,0,1,65
15,1,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,2012,0.362404,0.366618,0,-4.697406,0.602,0.0146286,0.0229964,0.0001204,0.076454,0.202874,56.02212,1211.224,0.370881,0,-4.752027,0.609,0.0147987,0.0232638,0.0001218,0.077343,0.205233,56.67354,1225.308,0,0,0,0,0,0,0,0,0,0,60.886809,-7.803,-0.1896129,-0.2980746,-0.0015606,-0.990981,-2.629611,-726.14718,-15699.636,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,2012,0.00059049,0.00092826,4.86E-06,0.0030861,0.0081891,2.261358,48.8916,0.00145924,7.64E-06,0.0048514,0.0128734,3.554892,76.8584,4.00E-08,2.54E-05,6.74E-05,0.018612,0.4024,0.016129,0.042799,11.81862,255.524,0.113569,31.36122,678.044,8660.1636,187236.72,4048144,55357.7762,-6448.053869,0,0,1,48
16,1,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,2012,0.432964,0.479682,4.606,-4.317138,0.658,0.0248724,0.0014147,0.0008554,0.0494816,0.439544,68.436606,1323.896,0.531441,5.103,-4.782969,0.729,0.0275562,0.00156735,0.0009477,0.0548208,0.486972,75.821103,1466.748,49,-45.927,7,0.2646,0.01505,0.0091,0.5264,4.676,728.049,14084,43.046721,-6.561,-0.2480058,-0.01410615,-0.0085293,-0.4933872,-4.382748,-682.389927,-13200.732,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,2012,0.00142884,8.13E-05,4.91E-05,0.00284256,0.0252504,3.9314646,76.0536,4.62E-06,2.80E-06,0.00016168,0.0014362,0.22361505,4.3258,1.69E-06,9.78E-05,0.0008684,0.1352091,2.6156,0.00565504,0.0502336,7.8213264,151.3024,0.446224,69.476676,1344.016,10817.45605,209262.084,4048144,32804.61355,4524.690189,0,0,1,60
17,1,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13E-05,0.182,0.233,145.865,2012,0.321489,0.272727,2.268,-4.171419,0.567,0.015309,0.0098091,2.34E-05,0.103194,0.132111,82.705455,1140.804,0.231361,1.924,-3.538717,0.481,0.012987,0.0083213,1.99E-05,0.087542,0.112073,70.161065,967.772,16,-29.428,4,0.108,0.0692,0.0001652,0.728,0.932,583.46,8048,54.125449,-7.357,-0.198639,-0.1272761,-0.000303844,-1.338974,-1.714181,-1073.128805,-14802.284,1,0.027,0.0173,4.13E-05,0.182,0.233,145.865,2012,0.000729,0.0004671,1.12E-06,0.004914,0.006291,3.938355,54.324,0.00029929,7.14E-07,0.0031486,0.0040309,2.5234645,34.8076,1.71E-09,7.52E-06,9.62E-06,0.006024225,0.0830956,0.033124,0.042406,26.54743,366.184,0.054289,33.986545,468.796,21276.59823,293480.38,4048144,-51781.72438,-662.8827805,0,0,1,44
18,1,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65E-05,0.102,0.75,85.984,2012,0.394384,0.424528,4.396,-3.712108,0.628,0.0575248,0.00600996,1.66E-05,0.064056,0.471,53.997952,1263.536,0.456976,4.732,-3.995836,0.676,0.0619216,0.00646932,1.79E-05,0.068952,0.507,58.125184,1360.112,49,-41.377,7,0.6412,0.06699,0.0001855,0.714,5.25,601.888,14084,34.939921,-5.911,-0.5414476,-0.05656827,-0.000156642,-0.602922,-4.43325,-508.251424,-11892.932,1,0.0916,0.00957,2.65E-05,0.102,0.75,85.984,2012,0.00839056,0.000876612,2.43E-06,0.0093432,0.0687,7.8761344,184.2992,9.16E-05,2.54E-07,0.00097614,0.0071775,0.82286688,19.25484,7.02E-10,2.70E-06,1.99E-05,0.002278576,0.053318,0.010404,0.0765,8.770368,205.224,0.5625,64.488,1509,7393.248256,172999.808,4048144,69151.13369,4181.692106,0,0,1,64
19,1,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29E-06,0.09,0.928,99.981,2012,0.531441,0.545292,0,-4.86243,0.729,0.0178605,0.223803,9.40E-07,0.06561,0.676512,72.886149,1466.748,0.559504,0,-4.98916,0.748,0.018326,0.229636,9.65E-07,0.06732,0.694144,74.785788,1504.976,0,0,0,0,0,0,0,0,0,0,44.4889,-6.67,-0.163415,-2.04769,-8.60E-06,-0.6003,-6.18976,-666.87327,-13420.04,1,0.0245,0.307,1.29E-06,0.09,0.928,99.981,2012,0.00060025,0.0075215,3.16E-08,0.002205,0.022736,2.4495345,49.294,0.094249,3.96E-07,0.02763,0.284896,30.694167,617.684,1.66E-12,1.16E-07,1.20E-06,0.000128975,0.00259548,0.0081,0.08352,8.99829,181.08,0.861184,92.782368,1867.136,9996.200361,201161.772,4048144,41313.49538,-7677.16568,0,0,1,42
